SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
2230084,Yosemite Park High,65532,Mariposa,Mariposa County Unified,9-10,N,66,0,3.0,0.0,0.0,0.0,0.0,9,1,1,0.0,0.0
6007918,Green Point Elementary,62851,Humboldt,Blue Lake Union Elementary,6-7,N,60,0,3.0,0.0,0.0,0.0,0.0,71,1,1,0.0,0.0
0131227,Longfellow,64279,Los Angeles,Azusa Unified,K,N,60,0,3.0,0.0,0.0,0.0,0.0,1598,1,1,0.0,0.0
6010789,Juniper Ridge Elementary,64162,Lassen,Ravendale-Termo Elementary,1-5,N,61,0,4.0,0.0,0.0,0.0,0.0,19,1,1,0.0,0.0
6035059,Jefferson Elementary,67488,San Benito,Jefferson Elementary,1-8,N,61,0,4.0,0.0,0.0,0.0,0.0,24,1,1,0.0,0.0
0140376,Casterlin High,63040,Humboldt,Southern Humboldt Joint Unified,9-11,C,66,0,4.0,0.0,0.0,0.0,0.0,71,1,1,0.0,0.0
5530100,Cold Springs High,72413,Tuolumne,Summerville Union High,9-10,N,66,0,5.0,0.0,0.0,0.0,0.0,19,1,1,0.0,0.0
1230085,Mattole Triple Junction High,75382,Humboldt,Mattole Unified,9-12,C,66,0,5.0,0.0,0.0,0.0,0.0,71,1,1,0.0,0.0
1230085,Mattole Triple Junction High,75382,Humboldt,Ferndale Union High,No Data,No Data,66,0,5.0,0.0,0.0,0.0,0.0,71,1,1,0.0,0.0
5530175,Mountain High,72413,Tuolumne,Summerville Union High,9-10,N,66,0,6.0,0.0,0.0,0.0,0.0,19,1,1,0.0,0.0
5530092,South Fork High,72413,Tuolumne,Summerville Union High,10-11,N,66,0,6.0,0.0,0.0,0.0,0.0,19,1,1,0.0,0.0
2330207,Whale Gulch High,75218,Mendocino,Leggett Valley Unified,9-12,C,66,0,7.0,0.0,0.0,0.0,0.0,42,1,1,0.0,0.0
6053706,Coffee Creek Elementary,71670,Trinity,Coffee Creek Elementary,1-5,N,61,0,7.0,0.0,0.0,0.0,0.0,15,1,1,0.0,0.0
6050827,Klamath River Elementary,70375,Siskiyou,Klamath River Union Elementary,1-8,N,61,0,7.0,0.0,0.0,0.0,0.0,34,1,1,0.0,0.0
5337423,Southern Trinity High,73833,Trinity,Southern Trinity Joint Unified,10-12,C,66,0,7.0,0.0,0.0,0.0,0.0,15,1,1,0.0,0.0
0121376,Home and Hospital Program,61259,Alameda,Oakland Unified,2-10,N,65,0,7.0,0.0,0.0,0.0,0.0,296,1,1,0.0,0.0
1438308,Death Valley High Academy,63271,Inyo,Death Valley Unified,8-11,N,66,0,8.0,0.0,0.0,0.0,0.0,13,1,1,0.0,0.0
6052013,Kashia Elementary,70888,Sonoma,Kashia Elementary,1-8,N,61,0,8.0,0.0,0.0,0.0,0.0,103,1,1,0.0,0.0
6035109,Panoche Elementary,67520,San Benito,Panoche Elementary,K-4,N,61,0,8.0,0.0,0.0,0.0,0.0,24,1,1,0.0,0.0
2230076,Coulterville High,65532,Mariposa,Mariposa County Unified,9-12,N,66,0,9.0,0.0,0.0,0.0,0.0,9,1,1,0.0,0.0
6025142,Comptche Elementary,65581,Mendocino,Mendocino Unified,K-1,N,60,0,9.0,0.0,0.0,0.0,0.0,42,1,1,0.0,0.0
6024327,Laguna Elementary,65342,Marin,Laguna Joint Elementary,2-6,N,61,0,9.0,0.0,0.0,0.0,0.0,65,1,1,0.0,0.0
6051700,Dunham Elementary,70672,Sonoma,Dunham Elementary,6,N,60,0,10.0,0.0,0.0,0.0,0.0,103,1,1,0.0,0.0
